Session,Match Number,Venue,Date and Time,Winning Team,First Team,Second Team,Link
2022,MATCH 26,"Brabourne - CCI, Mumbai","APR, SAT 16 , 3:30 pm IST",LUCKNOW SUPER GIANTS WON BY 18 RUNS,Mumbai Indians 181/9 (20.0 OV),Lucknow Super Giants 199/4 (20.0 OV ),https://www.iplt20.com/match/2022/481
2022,MATCH 25,"Brabourne - CCI, Mumbai","APR, FRI 15 , 7:30 pm IST",SUNRISERS HYDERABAD WON BY 7 WICKETS,Sunrisers Hyderabad 176/3 (17.5 OV),Kolkata Knight Riders 175/8 (20.0 OV ),https://www.iplt20.com/match/2022/480
2022,MATCH 24,"DY Patil Stadium, NAVI MUMBAI","APR, THU 14 , 7:30 pm IST",GUJARAT TITANS WON BY 37 RUNS,Rajasthan Royals 155/9 (20.0 OV),Gujarat Titans 192/4 (20.0 OV ),https://www.iplt20.com/match/2022/479
2022,MATCH 23,"Maharashtra Cricket Association Stadium, Pune","APR, WED 13 , 7:30 pm IST",PUNJAB KINGS WON BY 12 RUNS,Mumbai Indians 186/9 (20.0 OV),Punjab Kings 198/5 (20.0 OV ),https://www.iplt20.com/match/2022/478
2022,MATCH 22,"DY Patil Stadium, NAVI MUMBAI","APR, TUE 12 , 7:30 pm IST",CHENNAI SUPER KINGS WON BY 23 RUNS,Chennai Super Kings 216/4 (20.0 OV),Royal Challengers Bangalore 193/9 (20.0 OV ),https://www.iplt20.com/match/2022/477
2022,MATCH 21,"DY Patil Stadium, NAVI MUMBAI","APR, MON 11 , 7:30 pm IST",SUNRISERS HYDERABAD WON BY 8 WICKETS,Sunrisers Hyderabad 168/2 (19.1 OV),Gujarat Titans 162/7 (20.0 OV ),https://www.iplt20.com/match/2022/476
2022,MATCH 20,"Wankhede Stadium, Mumbai","APR, SUN 10 , 7:30 pm IST",RAJASTHAN ROYALS WON BY 3 RUNS,Rajasthan Royals 165/6 (20.0 OV),Lucknow Super Giants 162/8 (20.0 OV ),https://www.iplt20.com/match/2022/475
2022,MATCH 19,"Brabourne - CCI, Mumbai","APR, SUN 10 , 3:30 pm IST",DELHI CAPITALS WON BY 44 RUNS,Kolkata Knight Riders 171 (19.4 OV),Delhi Capitals 215/5 (20.0 OV ),https://www.iplt20.com/match/2022/474
2022,MATCH 18,"Maharashtra Cricket Association Stadium, Pune","APR, SAT 9 , 7:30 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 7 WICKETS,Royal Challengers Bangalore 152/3 (18.3 OV),Mumbai Indians 151/6 (20.0 OV ),https://www.iplt20.com/match/2022/473
2022,MATCH 17,"DY Patil Stadium, NAVI MUMBAI","APR, SAT 9 , 3:30 pm IST",SUNRISERS HYDERABAD WON BY 8 WICKETS,Chennai Super Kings 154/7 (20.0 OV),Sunrisers Hyderabad 155/2 (17.4 OV ),https://www.iplt20.com/match/2022/472
2022,MATCH 16,"Brabourne - CCI, Mumbai","APR, FRI 8 , 7:30 pm IST",GUJARAT TITANS WON BY 6 WICKETS,Punjab Kings 189/9 (20.0 OV),Gujarat Titans 190/4 (20.0 OV ),https://www.iplt20.com/match/2022/471
2022,MATCH 15,"DY Patil Stadium, NAVI MUMBAI","APR, THU 7 , 7:30 pm IST",LUCKNOW SUPER GIANTS WON BY 6 WICKETS,Lucknow Super Giants 155/4 (19.4 OV),Delhi Capitals 149/3 (20.0 OV ),https://www.iplt20.com/match/2022/470
2022,MATCH 14,"Maharashtra Cricket Association Stadium, Pune","APR, WED 6 , 7:30 pm IST",KOLKATA KNIGHT RIDERS WON BY 5 WICKETS,Kolkata Knight Riders 162/5 (16.0 OV),Mumbai Indians 161/4 (20.0 OV ),https://www.iplt20.com/match/2022/469
2022,MATCH 13,"Wankhede Stadium, Mumbai","APR, TUE 5 , 7:30 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 4 WICKETS,Rajasthan Royals 169/3 (20.0 OV),Royal Challengers Bangalore 173/6 (19.1 OV ),https://www.iplt20.com/match/2022/468
2022,MATCH 12,"DY Patil Stadium, NAVI MUMBAI","APR, MON 4 , 7:30 pm IST",LUCKNOW SUPER GIANTS WON BY 12 RUNS,Sunrisers Hyderabad 157/9 (20.0 OV),Lucknow Super Giants 169/7 (20.0 OV ),https://www.iplt20.com/match/2022/467
2022,MATCH 11,"Brabourne - CCI, Mumbai","APR, SUN 3 , 7:30 pm IST",PUNJAB KINGS WON BY 54 RUNS,Chennai Super Kings 126 (18.0 OV),Punjab Kings 180/8 (20.0 OV ),https://www.iplt20.com/match/2022/466
2022,MATCH 10,"Maharashtra Cricket Association Stadium, Pune","APR, SAT 2 , 7:30 pm IST",GUJARAT TITANS WON BY 14 RUNS,Gujarat Titans 171/6 (20.0 OV),Delhi Capitals 157/9 (20.0 OV ),https://www.iplt20.com/match/2022/465
2022,MATCH 9,"DY Patil Stadium, NAVI MUMBAI","APR, SAT 2 , 3:30 pm IST",RAJASTHAN ROYALS WON BY 23 RUNS,Mumbai Indians 170/8 (20.0 OV),Rajasthan Royals 193/8 (20.0 OV ),https://www.iplt20.com/match/2022/464
2022,MATCH 8,"Wankhede Stadium, Mumbai","APR, FRI 1 , 7:30 pm IST",KOLKATA KNIGHT RIDERS WON BY 6 WICKETS,Kolkata Knight Riders 141/4 (14.3 OV),Punjab Kings 137 (18.2 OV ),https://www.iplt20.com/match/2022/463
2022,MATCH 7,"Brabourne - CCI, Mumbai","MAR, THU 31 , 7:30 pm IST",LUCKNOW SUPER GIANTS WON BY 6 WICKETS,Lucknow Super Giants 211/4 (19.3 OV),Chennai Super Kings 210/7 (20.0 OV ),https://www.iplt20.com/match/2022/462
2022,MATCH 6,"DY Patil Stadium, NAVI MUMBAI","MAR, WED 30 , 7:30 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 3 WICKETS,Royal Challengers Bangalore 132/7 (19.2 OV),Kolkata Knight Riders 128 (18.5 OV ),https://www.iplt20.com/match/2022/461
2022,MATCH 5,"Maharashtra Cricket Association Stadium, Pune","MAR, TUE 29 , 7:30 pm IST",RAJASTHAN ROYALS WON BY 61 RUNS,Sunrisers Hyderabad 149/7 (20.0 OV),Rajasthan Royals 210/6 (20.0 OV ),https://www.iplt20.com/match/2022/460
2022,MATCH 4,"Wankhede Stadium, Mumbai","MAR, MON 28 , 7:30 pm IST",GUJARAT TITANS WON BY 5 WICKETS,Gujarat Titans 161/5 (19.4 OV),Lucknow Super Giants 158/6 (20.0 OV ),https://www.iplt20.com/match/2022/459
2022,MATCH 3,"DY Patil Stadium, NAVI MUMBAI","MAR, SUN 27 , 7:30 pm IST",PUNJAB KINGS WON BY 5 WICKETS,Royal Challengers Bangalore 205/2 (20.0 OV),Punjab Kings 208/5 (19.0 OV ),https://www.iplt20.com/match/2022/458
2022,MATCH 2,"Brabourne - CCI, Mumbai","MAR, SUN 27 , 3:30 pm IST",DELHI CAPITALS WON BY 4 WICKETS,Delhi Capitals 179/6 (18.2 OV),Mumbai Indians 177/5 (20.0 OV ),https://www.iplt20.com/match/2022/457
2022,MATCH 1,"Wankhede Stadium, Mumbai","MAR, SAT 26 , 7:30 pm IST",KOLKATA KNIGHT RIDERS WON BY 6 WICKETS,Chennai Super Kings 131/5 (20.0 OV),Kolkata Knight Riders 133/4 (18.3 OV ),https://www.iplt20.com/match/2022/456
2023,FINAL,"Narendra Modi Stadium, Ahmedabad","MAY, MON 29 , 7:30 pm IST",CHENNAI SUPER KINGS WON BY 5 WICKETS (D/L METHOD) (WINNERS),Chennai Super Kings 171/5 (15.0 OV),Gujarat Titans 214/4 (20.0 OV ),https://www.iplt20.com/match/2023/1046
2023,QUALIFIER 2,"Narendra Modi Stadium, Ahmedabad","MAY, FRI 26 , 7:30 pm IST",GUJARAT TITANS WON BY 62 RUNS (QUALIFIED),Gujarat Titans 233/3 (20.0 OV),Mumbai Indians 171 (18.2 OV ),https://www.iplt20.com/match/2023/1045
2023,ELIMINATOR,"MA Chidambaram Stadium, Chennai","MAY, WED 24 , 7:30 pm IST",MUMBAI INDIANS WON BY 81 RUNS (QUALIFIED),Lucknow Super Giants 101 (16.3 OV),Mumbai Indians 182/8 (20.0 OV ),https://www.iplt20.com/match/2023/1044
2023,QUALIFIER 1,"MA Chidambaram Stadium, Chennai","MAY, TUE 23 , 7:30 pm IST",CHENNAI SUPER KINGS WON BY 15 RUNS (QUALIFIED),Gujarat Titans 157 (20.0 OV),Chennai Super Kings 172/7 (20.0 OV ),https://www.iplt20.com/match/2023/1043
2023,MATCH 70,"M Chinnaswamy Stadium, Bengaluru","MAY, SUN 21 , 7:30 pm IST",GUJARAT TITANS WON BY 6 WICKETS,Royal Challengers Bengaluru 197/5 (20.0 OV),Gujarat Titans 198/4 (19.1 OV ),https://www.iplt20.com/match/2023/925
2023,MATCH 69,"Wankhede Stadium, Mumbai","MAY, SUN 21 , 3:30 pm IST",MUMBAI INDIANS WON BY 8 WICKETS,Mumbai Indians 201/2 (18.0 OV),Sunrisers Hyderabad 200/5 (20.0 OV ),https://www.iplt20.com/match/2023/924
2023,MATCH 68,"Eden Gardens, Kolkata","MAY, SAT 20 , 7:30 pm IST",LUCKNOW SUPER GIANTS WON BY 1 RUN,Kolkata Knight Riders 175/7 (20.0 OV),Lucknow Super Giants 176/8 (20.0 OV ),https://www.iplt20.com/match/2023/923
2023,MATCH 67,"Arun Jaitley Stadium, Delhi","MAY, SAT 20 , 3:30 pm IST",CHENNAI SUPER KINGS WON BY 77 RUNS,Delhi Capitals 146/9 (20.0 OV),Chennai Super Kings 223/3 (20.0 OV ),https://www.iplt20.com/match/2023/922
2023,MATCH 66,"Himachal Pradesh Cricket Association Stadium, Dharamsala","MAY, FRI 19 , 7:30 pm IST",RAJASTHAN ROYALS WON BY 4 WICKETS,Punjab Kings 187/5 (20.0 OV),Rajasthan Royals 189/6 (19.4 OV ),https://www.iplt20.com/match/2023/921
2023,MATCH 65,"Rajiv Gandhi International Stadium, Hyderabad","MAY, THU 18 , 7:30 pm IST",ROYAL CHALLENGERS BENGALURU WON BY 8 WICKETS,Sunrisers Hyderabad 186/5 (20.0 OV),Royal Challengers Bengaluru 187/2 (19.2 OV ),https://www.iplt20.com/match/2023/920
2023,MATCH 64,"Himachal Pradesh Cricket Association Stadium, Dharamsala","MAY, WED 17 , 7:30 pm IST",DELHI CAPITALS WON BY 15 RUNS,Punjab Kings 198/8 (20.0 OV),Delhi Capitals 213/2 (20.0 OV ),https://www.iplt20.com/match/2023/919
2023,MATCH 63,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","MAY, TUE 16 , 7:30 pm IST",LUCKNOW SUPER GIANTS WON BY 5 RUNS,Lucknow Super Giants 177/3 (20.0 OV),Mumbai Indians 172/5 (20.0 OV ),https://www.iplt20.com/match/2023/918
2023,MATCH 62,"Narendra Modi Stadium, Ahmedabad","MAY, MON 15 , 7:30 pm IST",GUJARAT TITANS WON BY 34 RUNS,Gujarat Titans 188/9 (20.0 OV),Sunrisers Hyderabad 154/9 (20.0 OV ),https://www.iplt20.com/match/2023/917
2023,MATCH 61,"MA Chidambaram Stadium, Chennai","MAY, SUN 14 , 7:30 pm IST",KOLKATA KNIGHT RIDERS WON BY 6 WICKETS,Chennai Super Kings 144/6 (20.0 OV),Kolkata Knight Riders 147/4 (18.3 OV ),https://www.iplt20.com/match/2023/916
2023,MATCH 60,"Sawai Mansingh Stadium, Jaipur","MAY, SUN 14 , 3:30 pm IST",ROYAL CHALLENGERS BENGALURU WON BY 112 RUNS,Rajasthan Royals 59 (10.3 OV),Royal Challengers Bengaluru 171/5 (20.0 OV ),https://www.iplt20.com/match/2023/915
2023,MATCH 59,"Arun Jaitley Stadium, Delhi","MAY, SAT 13 , 7:30 pm IST",PUNJAB KINGS WON BY 31 RUNS,Delhi Capitals 136/8 (20.0 OV),Punjab Kings 167/7 (20.0 OV ),https://www.iplt20.com/match/2023/914
2023,MATCH 58,"Rajiv Gandhi International Stadium, Hyderabad","MAY, SAT 13 , 3:30 pm IST",LUCKNOW SUPER GIANTS WON BY 7 WICKETS,Sunrisers Hyderabad 182/6 (20.0 OV),Lucknow Super Giants 185/3 (19.2 OV ),https://www.iplt20.com/match/2023/913
2023,MATCH 57,"Wankhede Stadium, Mumbai","MAY, FRI 12 , 7:30 pm IST",MUMBAI INDIANS WON BY 27 RUNS,Mumbai Indians 218/5 (20.0 OV),Gujarat Titans 191/8 (20.0 OV ),https://www.iplt20.com/match/2023/912
2023,MATCH 56,"Eden Gardens, Kolkata","MAY, THU 11 , 7:30 pm IST",RAJASTHAN ROYALS WON BY 9 WICKETS,Kolkata Knight Riders 149/8 (20.0 OV),Rajasthan Royals 151/1 (13.1 OV ),https://www.iplt20.com/match/2023/911
2023,MATCH 55,"MA Chidambaram Stadium, Chennai","MAY, WED 10 , 7:30 pm IST",CHENNAI SUPER KINGS WON BY 27 RUNS,Chennai Super Kings 167/8 (20.0 OV),Delhi Capitals 140/8 (20.0 OV ),https://www.iplt20.com/match/2023/910
2023,MATCH 54,"Wankhede Stadium, Mumbai","MAY, TUE 9 , 7:30 pm IST",MUMBAI INDIANS WON BY 6 WICKETS,Mumbai Indians 200/4 (16.3 OV),Royal Challengers Bengaluru 199/6 (20.0 OV ),https://www.iplt20.com/match/2023/909
2023,MATCH 53,"Eden Gardens, Kolkata","MAY, MON 8 , 7:30 pm IST",KOLKATA KNIGHT RIDERS WON BY 5 WICKETS,Kolkata Knight Riders 182/5 (20.0 OV),Punjab Kings 179/7 (20.0 OV ),https://www.iplt20.com/match/2023/908
2023,MATCH 52,"Sawai Mansingh Stadium, Jaipur","MAY, SUN 7 , 7:30 pm IST",SUNRISERS HYDERABAD WON BY 4 WICKETS,Rajasthan Royals 214/2 (20.0 OV),Sunrisers Hyderabad 217/6 (20.0 OV ),https://www.iplt20.com/match/2023/907
